Anio,Cveestado,Nomestado,Cveddr,Nomddr,Cvempio,Nommunicipio,Cveespecie,Nomespecie,Cveproducto,Nomproducto,Volumen,Peso,Precio,Valor,Asacrificado,Año,Mes,Fecha_Pub_DOF,Clave ciudad,Nombre ciudad,División,Grupo,Clase,Subclase,Clave genérico,Genérico,Consecutivo,Especificación,Precio promedio,Cantidad,Unidad,Estatus
2015,21,Puebla,111,Huauchinango,109,Pahuatlán,4,Bovino,6,Leche,126.172,0,5.41,682.594,0,2015,12,21/01/2016 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,11,"LALA, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",16,1,LT,
2015,21,Puebla,111,Huauchinango,111,Pantepec,4,Bovino,6,Leche,483.66,0,5.41,2616.491,0,2015,12,21/01/2016 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,12,"BORDEN, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",16.5,1,LT,
2015,21,Puebla,111,Huauchinango,123,San Felipe Tepatlán,4,Bovino,6,Leche,119.45,0,5.4,644.433,0,2015,12,21/01/2016 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,13,"ALPURA 2000, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",14.5,1,LT,
2015,21,Puebla,111,Huauchinango,178,Tlacuilotepec,4,Bovino,6,Leche,266.89,0,5.35,1428.263,0,2015,12,21/01/2016 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,14,"SANTA CLARA, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",16,1,LT,
2015,21,Puebla,111,Huauchinango,183,Tlaola,4,Bovino,6,Leche,227.565,0,5.38,1224.051,0,2015,12,21/01/2016 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,15,"ALPURA, ULTRAPASTEURIZADA, 2000, SEMI, BOTE DE 1 LT",16.5,1,LT,
2015,21,Puebla,111,Huauchinango,184,Tlapacoya,4,Bovino,6,Leche,266.9,0,5.36,1431.495,0,2015,11,21/12/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,1,"SANTA CLARA, PASTEURIZADA, ENTERA, BOTE DE 1.89 LT",15.66,1,LT,
2015,21,Puebla,111,Huauchinango,187,Tlaxco,4,Bovino,6,Leche,248.089,0,5.35,1326.268,0,2015,11,21/12/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,2,"LALA, ULTRAPASTEURIZADA, DESLACTOSADA, BOTE DE 1 LT",15.9,1,LT,
2015,21,Puebla,111,Huauchinango,194,Venustiano Carranza,4,Bovino,6,Leche,645.84,0,5.43,3505.112,0,2015,11,21/12/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,3,"LECHE Y PAN, ULTRAPASTEURIZADA, 12 BOTES DE 1 LT",11,1,LT,
2015,21,Puebla,111,Huauchinango,197,Xicotepec,4,Bovino,6,Leche,428.34,0,5.42,2320.198,0,2015,11,21/12/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,4,"PARMALAT, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",15,1,LT,
2015,21,Puebla,111,Huauchinango,213,Zihuateutla,4,Bovino,6,Leche,239.699,0,5.36,1284.718,0,2015,11,21/12/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,5,"LALA, PASTEURIZADA, ENTERA, BOTE DE 1.86 LT",16.45,1,LT,
2015,21,Puebla,112,Zacatlán,16,Aquixtla,4,Bovino,6,Leche,2717,0,5.51,14971.2,0,2015,11,21/12/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,6,"ALPURA 2000, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",17,1,LT,
2015,21,Puebla,112,Zacatlán,39,Cuautempan,4,Bovino,6,Leche,924,0,5.5,5084.6,0,2015,11,21/12/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,7,"SANTA CLARA, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",15.78,1,LT,
2015,21,Puebla,112,Zacatlán,53,Chignahuapan,4,Bovino,6,Leche,4090,0,5.51,22520.4,0,2015,11,21/12/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,8,"LALA, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",18.5,1,LT,
2015,21,Puebla,112,Zacatlán,53,Chignahuapan,6,Caprino,6,Leche,10.8,0,6.52,70.38,0,2015,11,21/12/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,9,"LALA, PASTEURIZADA, ENTERA, BOTE DE 1 LT",14.63,1,LT,
2015,21,Puebla,112,Zacatlán,83,Ixtacamaxtitlán,4,Bovino,6,Leche,5317,0,5.52,29331.6,0,2015,11,21/12/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,10,"ALPURA, PASTEURIZADA, CLASICA, ENTERA, BOTE DE 1 LT",15,1,LT,
2015,21,Puebla,112,Zacatlán,172,Tetela de Ocampo,4,Bovino,6,Leche,1378,0,5.5,7577.1,0,2015,11,21/12/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,11,"LALA, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",14.45,1,LT,
2015,21,Puebla,112,Zacatlán,208,Zacatlán,4,Bovino,6,Leche,3035,0,5.53,16785.2,0,2015,11,21/12/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,12,"BORDEN, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",16.5,1,LT,
2015,21,Puebla,113,Teziutlán,2,Acateno,4,Bovino,6,Leche,151.088,0,5.65,854.038,0,2015,11,21/12/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,13,"ALPURA 2000, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",14.5,1,LT,
2015,21,Puebla,113,Teziutlán,17,Atempan,4,Bovino,6,Leche,319.705,0,5.75,1838.103,0,2015,11,21/12/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,14,"SANTA CLARA, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",16,1,LT,
2015,21,Puebla,113,Teziutlán,25,Ayotoxco de Guerrero,4,Bovino,6,Leche,123.387,0,5.69,702.586,0,2015,11,21/12/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,15,"ALPURA, ULTRAPASTEURIZADA, 2000, SEMI, BOTE DE 1 LT",16.5,1,LT,
2015,21,Puebla,113,Teziutlán,29,Caxhuacan,4,Bovino,6,Leche,56.87,0,5.88,334.414,0,2015,10,23/11/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,1,"SANTA CLARA, PASTEURIZADA, ENTERA, BOTE DE 1.89 LT",15.61,1,LT,
2015,21,Puebla,113,Teziutlán,43,Cuetzalan del Progreso,4,Bovino,6,Leche,190.8,0,6.01,1147.449,0,2015,10,23/11/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,2,"LALA, ULTRAPASTEURIZADA, DESLACTOSADA, BOTE DE 1 LT",15.95,1,LT,
2015,21,Puebla,113,Teziutlán,54,Chignautla,4,Bovino,6,Leche,84.282,0,5.65,475.928,0,2015,10,23/11/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,3,"LECHE Y PAN, ULTRAPASTEURIZADA, 12 BOTES DE 1 LT",11,1,LT,
2015,21,Puebla,113,Teziutlán,72,Huehuetla,4,Bovino,6,Leche,65.62,0,5.88,385.888,0,2015,10,23/11/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,4,"PARMALAT, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",14.75,1,LT,
2015,21,Puebla,113,Teziutlán,76,Hueytamalco,4,Bovino,6,Leche,110.747,0,5.61,620.938,0,2015,10,23/11/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,5,"LALA, PASTEURIZADA, ENTERA, BOTE DE 1.86 LT",16.17,1,LT,
2015,21,Puebla,113,Teziutlán,77,Hueytlalpan,4,Bovino,6,Leche,55.33,0,5.75,318.299,0,2015,10,23/11/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,6,"ALPURA 2000, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",17,1,LT,
2015,21,Puebla,113,Teziutlán,78,Huitzilan de Serdán,4,Bovino,6,Leche,58.3,0,5.64,328.67,0,2015,10,23/11/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,7,"SANTA CLARA, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",15.78,1,LT,
2015,21,Puebla,113,Teziutlán,80,Atlequizayan,4,Bovino,6,Leche,67.36,0,5.93,399.655,0,2015,10,23/11/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,8,"LALA, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",18.5,1,LT,
2015,21,Puebla,113,Teziutlán,84,Ixtepec,4,Bovino,6,Leche,59.24,0,5.84,345.866,0,2015,10,23/11/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,9,"LALA, PASTEURIZADA, ENTERA, BOTE DE 1 LT",13.98,1,LT,
2015,21,Puebla,113,Teziutlán,88,Jonotla,4,Bovino,6,Leche,72.22,0,5.84,421.382,0,2015,10,23/11/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,10,"ALPURA, PASTEURIZADA, CLASICA, ENTERA, BOTE DE 1 LT",15,1,LT,
2015,21,Puebla,113,Teziutlán,101,Nauzontla,4,Bovino,6,Leche,55.62,0,5.85,325.314,0,2015,10,23/11/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,11,"LALA, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",14,1,LT,
2015,21,Puebla,113,Teziutlán,107,Olintla,4,Bovino,6,Leche,64.57,0,5.68,366.934,0,2015,10,23/11/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,12,"BORDEN, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",16.43,1,LT,
2015,21,Puebla,113,Teziutlán,173,Teteles de Avila Castillo,4,Bovino,6,Leche,306.244,0,5.63,1723.662,0,2015,10,23/11/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,13,"ALPURA 2000, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",14.13,1,LT,
2015,21,Puebla,113,Teziutlán,174,Teziutlán,4,Bovino,6,Leche,477.171,0,5.63,2684.558,0,2015,10,23/11/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,14,"SANTA CLARA, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",16,1,LT,
2015,21,Puebla,113,Teziutlán,186,Tlatlauquitepec,4,Bovino,6,Leche,382.193,0,5.65,2158.792,0,2015,10,23/11/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,15,"ALPURA, ULTRAPASTEURIZADA, 2000, SEMI, BOTE DE 1 LT",16.38,1,LT,
2015,21,Puebla,113,Teziutlán,192,Tuzamapan de Galeana,4,Bovino,6,Leche,79.3,0,5.64,447.492,0,2015,9,19/10/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,1,"SANTA CLARA, PASTEURIZADA, ENTERA, BOTE DE 1.89 LT",15.61,1,LT,
2015,21,Puebla,113,Teziutlán,199,Xiutetelco,4,Bovino,6,Leche,63.46,0,5.67,359.66,0,2015,9,19/10/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,2,"LALA, ULTRAPASTEURIZADA, DESLACTOSADA, BOTE DE 1 LT",15.5,1,LT,
2015,21,Puebla,113,Teziutlán,200,Xochiapulco,4,Bovino,6,Leche,94.83,0,5.76,546.426,0,2015,9,19/10/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,3,"LECHE Y PAN, ULTRAPASTEURIZADA, 12 BOTES DE 1 LT",11,1,LT,
2015,21,Puebla,113,Teziutlán,202,Xochitlán de Vicente Suárez,4,Bovino,6,Leche,79.55,0,5.61,446.197,0,2015,9,19/10/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,4,"PARMALAT, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",14.5,1,LT,
2015,21,Puebla,113,Teziutlán,204,Yaonáhuac,4,Bovino,6,Leche,95.706,0,5.75,550.396,0,2015,9,19/10/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,5,"LALA, PASTEURIZADA, ENTERA, BOTE DE 1.86 LT",16.07,1,LT,
2015,21,Puebla,113,Teziutlán,207,Zacapoaxtla,4,Bovino,6,Leche,139.8,0,5.89,823.956,0,2015,9,19/10/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,6,"ALPURA 2000, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",17,1,LT,
2015,21,Puebla,113,Teziutlán,210,Zapotitlán de Méndez,4,Bovino,6,Leche,57.85,0,5.46,315.96,0,2015,9,19/10/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,7,"SANTA CLARA, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",16.15,1,LT,
2015,21,Puebla,113,Teziutlán,211,Zaragoza,4,Bovino,6,Leche,421.68,0,5.69,2398.472,0,2015,9,19/10/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,8,"LALA, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",18.5,1,LT,
2015,21,Puebla,113,Teziutlán,212,Zautla,4,Bovino,6,Leche,227.979,0,5.65,1288.752,0,2015,9,19/10/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,9,"LALA, PASTEURIZADA, ENTERA, BOTE DE 1 LT",13.33,1,LT,
2015,21,Puebla,113,Teziutlán,215,Zongozotla,4,Bovino,6,Leche,17.5,0,5.57,97.505,0,2015,9,19/10/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,10,"ALPURA, PASTEURIZADA, CLASICA, ENTERA, BOTE DE 1 LT",15,1,LT,
2015,21,Puebla,113,Teziutlán,216,Zoquiapan,4,Bovino,6,Leche,55.02,0,5.61,308.639,0,2015,9,19/10/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,11,"LALA, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",14.13,1,LT,
2015,21,Puebla,114,Libres,12,Aljojuca,4,Bovino,6,Leche,3275.256,0,6.63,21721.248,0,2015,9,19/10/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,12,"BORDEN, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",16.28,1,LT,
2015,21,Puebla,114,Libres,12,Aljojuca,6,Caprino,6,Leche,35.63,0,7.04,250.644,0,2015,9,19/10/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,13,"ALPURA 2000, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",15,1,LT,
2015,21,Puebla,114,Libres,23,Atzitzintla,4,Bovino,6,Leche,3310.219,0,6.6,21834.971,0,2015,9,19/10/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,14,"SANTA CLARA, ULTRAPASTEURIZADA, ENTERA, BOTE DE 1 LT",16,1,LT,
2015,21,Puebla,114,Libres,23,Atzitzintla,6,Caprino,6,Leche,32.87,0,7.05,231.731,0,2015,9,19/10/2015 00:00,11,"Puebla, Pue."," 1. Alimentos, bebidas y tabaco", 1.1. Alimentos," 1.1.4. Leche, derivados de leche y huevo", 11 Leche pasteurizada y fresca,30,Leche pasteurizada y fresca,15,"ALPURA, ULTRAPASTEURIZADA, 2000, SEMI, BOTE DE 1 LT",16,1,LT,
